,"NZ","CL","PE","VN","BN","MY","SG","CA","MX","US","JP","AU"
"NZ",,114,92,95,93,115,102,114,90,50,46,97
"CL",114,,113,113,95,109,118,109,108,25,32,90
"PE",92,113,,97,87,87,105,87,101,54,44,88
"VN",95,113,97,,117,110,98,99,106,25,35,67
"BN",93,95,87,117,,112,87,87,87,21,36,68
"MY",115,109,87,110,112,,113,105,82,26,37,66
"SG",102,118,105,98,87,113,,96,85,51,39,86
"CA",114,109,87,99,87,105,96,,91,42,50,89
"MX",90,108,101,106,87,82,85,91,,50,40,72
"US",50,25,54,25,21,26,51,42,50,,37,64
"JP",46,32,44,35,36,37,39,50,40,37,,41
"AU",97,90,88,67,68,66,86,89,72,64,41,
